keyword,score
1956 výzkum slovanského,0.7093
solle spolupracovali,0.6182
slovanského hradiště zpráva,0.6033
základní slovanské sídlištní,0.5661
okr ji hradiska,0.5491
prokopáno,0.5354
září 1956 vedoucím,0.4995
metodou zjištěn,0.4808
dr iloš solle,0.4552
úspěchem předchozí,0.4528
56 sondou,0.4478
stavební úpravy nejstarší,0.4162
stránce výzkumné 10,0.4097
ověřeno ukončení hradby,0.3646
dělníků stálí,0.3597
hrobové akumulace vystopování,0.339
předchozí fosfátové,0.318
muže železnými nožíky,0.3048
výzkum bude uzavřen,0.2647
kouřim kolín praze,0.2557
