keyword,score
OBEC Žinkovy OKRES,1.0
OKRES I lzeň,0.187096
jih vir,0.098812
OBEC Žinkovy,0.074393
Žinkovy OKRES,0.062214
ČÍSLO PARCELY NÁZEV,0.042263
PARCELY NÁZEV TRATI,0.040294
Blovice,0.037503
OBEC,0.030445
OKRES,0.025581
NÁZEV TRATI PřUohy,0.024001
Potenštejn Kultura středověk,0.023765
Kultura středověk ČÍSLO,0.021285
středověk ČÍSLO MAPY,0.021285
ČÍSLO MAPY kooa,0.021285
Potenštejn Kultura,0.018007
Literatura A. Sedláček,0.018007
ČÍSLO PARCELY,0.016312
ČÍSLO MAPY,0.016312
PARCELY NÁZEV,0.015596
