"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Number[psor]","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PrepCase","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-pf","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","Věc","věc","1","O","","","","","","Nom","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1",":",":","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Stará","starý","3","B-gu","Settlement name (City/Town)","","","","","Nom","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","Kouřim","Kouřim","4","I-gu","Settlement name (City/Town)","","","","","Nom","","Fem","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","/","/","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Kolín","Kolín","1","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","3","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Praze","Praha","4","B-gu","Settlement name (City/Town)","","","","","Loc","","Fem","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","dne","den","5","O","","","","Inan","","Gen","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","6","6","6","B-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","Yes","","","","","","No"
"1",".",".","7","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","No"
"1","října","říjen","8","I-T","Complex time expressions","","","Inan","","Gen","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","Yes","","","","",""
"1","1956","1956","9","I-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","Yes","","","","No"
"1",".",".","10","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Výzkum","výzkum","1","O","","","","Inan","","Nom","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","slovanského","slovanský","2","O","","","","","","Gen","Pos","Neut","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","hradiště","hradiště","3","O","","","","","","Gen","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","Zpráva","zpráva","4","O","","","","","","Nom","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","za","za","5","O","","","Prep","","","Acc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","září","září","6","B-T","Complex time expressions","","","","","Acc","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","Yes","","","","",""
"1","1956","1956","7","I-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","Yes","","","","No"
"1",".",".","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Vedoucím","vedoucí","1","O","","","","Anim","","Ins","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","výzkumu","výzkum","2","O","","","","Inan","","Gen","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","•","•","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Dr","Dr","1","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","""","""","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","iloš","Iloš","3","O","","","","Anim","","Nom","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","Solle","Solle","4","B-ps","Surname","","","Anim","","Nom","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1",",",",","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Spolupracovali","spolupracovat","6","O","","","","Anim","Imp","","","Masc","","","","","","","Plur","","","Pos","","","","","Past","","Part","Act","","","","","","","","",""
"1","•","•","7","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","r","r","8","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","V","V","9","B-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","No"
"1",".",".","10","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","",""
"1","Vojáček","Vojáček","11","I-P","Complex personal names","","","Anim","","Nom","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","","Yes","","","","","","","No"
"1",",",",","12","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","J.Hub","J.hub","13","B-P","Complex personal names","","","Anim","","Nom","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","Yes","","","","","","","","No"
"1",".",".","14","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","",""
"1","Počet","počet","1","O","","","","Inan","","Nom","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","dělníků","dělník","2","O","","","","Anim","","Gen","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","",""
"1",":",":","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","4","4","4","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","",""
"1","stálí","stálý","5","O","","","","Anim","","Nom","Pos","Masc","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","",""
"1",",",",","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","4","4","7","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","",""
"1","výpomocní","výpomocný","8","O","","","","Anim","","Nom","Pos","Masc","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","","No"
"1",".",".","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Práce","práce","1","O","","","","","","Nom","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","",""
"1",":",":","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Pracoviště","pracoviště","3","O","","","","","","Nom","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","1","1","4","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","56","56","6","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","",""
"1",":",":","7","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Práce","práce","8","O","","","","","","Nom","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","na","na","9","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","tomto","tento","10","O","","","","","","Loc","","Masc,Neut","","","","","","","Sing","","","","","","Dem","","","","","","","","","","","","","",""
"1","úseku","úsek","11","O","","","","Inan","","Loc","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","uzavřena","uzavřený","12","O","","","","","Perf","","Pos","Fem,Neut","","","","","","","Plur,Sing","","","Pos","","","","","","Short","Part","Pass","","","","","","","","","No"
"1",".",".","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","Rozšířenou","rozšířený","1","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","Part","Pass","","","","","","","","",""
"1","křížovou","křížový","2","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","sondou","sonda","3","O","","","","","","Ins","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","bylo","být","4","O","","","","","Imp","","","Neut","","","","","","","Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","",""
"1","ověřeno","ověřený","5","O","","","","","Perf","","Pos","Neut","","","","","","","Sing","","","Pos","","","","","","Short","Part","Pass","","","","","","","","",""
"1","ukončení","ukončení","6","O","","","","","","Nom","","Neut","","","","","","","Sing","","","","","","","","","","Vnoun","","","","","","","","","",""
"1","hradby","hradba","7","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","středního","střední","8","O","","","","Inan","","Gen","Pos","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","vslu","vsl","9","O","","","","Inan","","Gen","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","10","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","připnutého","připnutý","11","O","","","","Inan","","Gen","Pos","Masc","","","","","","","Sing","","","Pos","","","","","","","Part","Pass","","","","","","","","",""
"1","k","k","12","O","","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","jižnímu","jižní","13","O","","","","Inan","","Dat","Pos","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","srázu","sráz","14","O","","","","Inan","","Dat","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","hradiska","hradisko","15","O","","","","","","Gen","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","a","a","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","horizontální","horizontální","17","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","a","a","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","vertikální","vertikální","19","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","výzkumnou","výzkumný","20","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","metodou","metoda","21","O","","","","","","Ins","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","zjištěn","zjištěný","22","O","","","","","Perf","","Pos","Masc","","","","","","","Sing","","","Pos","","","","","","Short","Part","Pass","","","","","","","","",""
"1","charakter","charakter","23","O","","","","Inan","","Nom","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","opevnění","opevnění","24","O","","","","","","Gen","","Neut","","","","","","","Sing","","","","","","","","","","Vnoun","","","","","","","","","",""
"1","přemyslovského","přemyslovský","25","O","","","","Inan","","Gen","Pos","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","typu","typ","26","O","","","","Inan","","Gen","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","s","s","27","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","kamennou","kamenný","28","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","a","a","29","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","roštovou","roštový","30","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","dřevěnou","dřevěný","31","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","konsttukcí","konsttukce","32","O","","","","","","Ins","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","valového","valový","33","O","","","","","","Gen","Pos","Neut","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","tělesa","těleso","34","O","","","","","","Gen","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","35","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","Pozůstatky","pozůstatek","1","O","","","","Inan","","Nom","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","",""
"1","dřevěné","dřevěný","2","O","","","","","","Gen","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","konstrukce","konstrukce","3","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","místy","místy","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","i","i","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","positivně","positivně","6","O","","","","","","","Pos","","","","","","","","","","","Pos","","","","","","","","","","","","","","","","",""
"1","nachovány","nachovaný","7","O","","","","Inan","Imp","","Pos","Fem,Masc","","","","","","","Plur","","","Pos","","","","","","Short","Part","Pass","","","","","","","","","No"
"1",".",".","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Pracoviště","pracoviště","1","O","","","","","","Nom","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","2","2","2","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","56","56","4","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Na","na","6","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","tomto","tento","7","O","","","","","","Loc","","Masc,Neut","","","","","","","Sing","","","","","","Dem","","","","","","","","","","","","","",""
"1","úseku","úsek","8","O","","","","Inan","","Loc","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","pare","pare","9","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","826","826","10","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","",""
"1","zachyceny","zachycený","11","O","","","","Inan","Perf","","Pos","Fem,Masc","","","","","","","Plur","","","Pos","","","","","","Short","Part","Pass","","","","","","","","",""
"1","stopy","stopa","12","O","","","","","","Nom","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","",""
"1","jižní","jižní","13","O","","","","","","Gen","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","hradby","hradba","14","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","na","na","15","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","okr","okr","16","O","","","","","","","Pos","","","Yes","","","","","","","","Pos","","","","","","","","","","","","","","","","","No"
"1","-","-","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ji","on","18","O","","","","","","Acc","","Fem","","","","","","","Sing","","3","","","Npr","Prs","","","","","","","","","","","","","",""
"1","hradiska","hradisko","19","O","","","","","","Gen","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","s","s","20","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","kamennou","kamenný","21","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","patou","pata","22","O","","","","","","Ins","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","ve","v","23","O","","","Voc","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","formě","forma","24","O","","","","","","Loc","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","zřetelné","zřetelný","25","O","","","","","","Gen","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","kamenné","kamenný","26","O","","","","","","Gen","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","podezdívky","podezdívka","27","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","28","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","Za","za","1","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","touto","tento","2","O","","","","","","Ins","","Fem","","","","","","","Sing","","","","","","Dem","","","","","","","","","","","","","",""
"1","kamennnou","kamennný","3","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","podezdívkou","podezdívka","4","O","","","","","","Ins","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","zjištěn","zjištěný","5","O","","","","","Perf","","Pos","Masc","","","","","","","Sing","","","Pos","","","","","","Short","Part","Pass","","","","","","","","",""
"1","sídlištní","sídlištní","6","O","","","","Inan","","Nom","Pos","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","prostor","prostor","7","O","","","","Inan","","Nom","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","s","s","8","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
