"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.ConjType","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Number[psor]","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PrepCase","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-gh","udpipe.misc.B-gu","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-pf","udpipe.misc.I-td","udpipe.misc.SpaceAfter"
"1","Kat","kat","1","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","obec","obec","3","O","","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","C","C","5","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","H","H","6","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","0","0","7","O","","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","D","D","8","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","O","o","9","O","","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","UNY","un","10","O","","","","Inan","","Acc","","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","Osada","osada","11","O","","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","12","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Trať","trať","13","O","","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Čmejlova","Čmejlův","15","B-ps","Surname","","","","","Nom","","","","Fem","Masc","","","Giv","","","Sing","","","","Yes","","","","","","","","","","","","","","","","",""
"1","pískovna","pískovna","16","O","","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","tou","ten","17","O","","","","","","Ins","","","","Fem","","","","","","","Sing","","","","","","Dem","","","","","","","","","","","","","","","No"
"1",";",";","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Okres","okres","1","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Roudnice","Roudnice","3","B-gu","Settlement name (City/Town)","","","","","Nom","","","","Fem","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","n","n","4","I-gu","Settlement name (City/Town)","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","5","I-gu","Settlement name (City/Town)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Labem","Labe","6","I-gu","Settlement name (City/Town)","","","","","Ins","","","","Neut","","","","Geo","","","Sing","","","","","","","","","","","","Yes","","","","","","","","",""
"1","4","4","7","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1957","1957","9","B-ty","Year","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","T","T","10","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",">",">","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","r«l","r«l","12","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
