"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PrepCase","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-T","udpipe.misc.B-gu","udpipe.misc.B-mn","udpipe.misc.B-oa","udpipe.misc.B-pf","udpipe.misc.B-pm","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-T","udpipe.misc.I-oa","udpipe.misc.I-pf","udpipe.misc.I-pm","udpipe.misc.I-td","udpipe.misc.SpaceAfter"
"1","OBEC","obec","1","O","","","","Inan","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Žinkovy","Žinkův","2","B-gu","Settlement name (City/Town)","","","","","Nom","","","Fem","Masc","","Giv","","","Plur","","","Yes","","","","","","","","","","","","","","","","","","","","","","",""
"1","OKRES","okres","3","O","","","","Inan","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","I","I","1","O","","","","","","","","","","","","","Roman","Card","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","lzeň","lzeň","2","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","jih","jih","4","O","","","","Inan","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","vir","vir","5","O","","","","Inan","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","Blovice","Blovice","7","O","","","","","","Nom","","","Fem","","","Geo","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",")",")","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","c","c","9","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","i","i","10","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","6","6","12","O","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","%","%","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","466","466","14","O","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","/","/","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
