"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Number[psor]","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-gu","udpipe.misc.B-nb","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-pf","udpipe.misc.I-td","udpipe.misc.SpaceAfter"
"1","CESKOSLOVENSKA","Ceskoslovensko","1","O","","","","","","Gen","","","Neut","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","AKADEM’E","Akadem’e","2","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","VEk","vek","3","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ABCHEOLOGICKÝ","abcheologický","4","O","","","","Inan","","Nom","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","ÚSTAV","ústav","5","O","","","","Inan","","Nom","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","Exgesitura","exgesitura","6","O","","","","","","Nom","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","v","v","7","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Plzal","Plzal","8","B-gs","Super-terrestrial name (Star/Planet)","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","48","48","9","B-ah","Street address","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","10","I-ah","Street address","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","63","63","11","I-ah","Street address","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","",""
"1","Plzeň","Plzeň","12","B-gu","Settlement name (City/Town)","","","","","Nom","","","Fem","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","|","|","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","c","c","14","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","s","společnost","16","O","","Yes","","","","","","","Fem","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","*","*","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","AxCMtOir","Axcmtoir","18","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","19","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","<","<","20","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","•","•","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
