"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-gu","udpipe.misc.B-pd","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-pd","udpipe.misc.I-pf","udpipe.misc.I-td","udpipe.misc.SpaceAfter"
"1","r","r","1","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Antropologický","antropologický","2","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","posudek","posudek","3","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","o","o","4","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","žárových","žárový","5","O","","","","Inan","","Loc","Pos","","Masc","","","","","Plur","","Pos","","","","","","","","","","","","","","","","",""
"1","pozůstatcích","pozůstatek","6","O","","","","Inan","","Loc","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","z","z","7","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","halštatské","halštatský","8","O","","","","","","Gen","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","mohyly","mohyla","9","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","č","číslo","10","O","","Yes","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1","1","12","B-n_","Number expression (General)","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","v","v","13","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Kšicích","Kšice","14","B-gu","Settlement name (City/Town)","","","","","Loc","","","Fem","","Geo","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","o","o","15","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Tachov","Tachov","17","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","Masc","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",".",".","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Lidské","lidský","1","O","","","","Inan","","Nom","Pos","","Masc","","","","","Plur","","Pos","","","","","","","","","","","","","","","","",""
"1","žárové","žárový","2","O","","","","Inan","","Nom","Pos","","Masc","","","","","Plur","","Pos","","","","","","","","","","","","","","","","",""
"1","pozůstatky","pozůstatek","3","O","","","","Inan","","Nom","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","","No"
"1",",",",","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","dodané","dodaný","5","O","","","","Inan","","Nom","Pos","","Masc","","","","","Plur","","Pos","","","","","Part","Pass","","","","","","","","","","",""
"1","k","k","6","O","","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","antropologickému","antropologický","7","O","","","","Inan","","Dat","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","rozboru","rozbor","8","O","","","","Inan","","Dat","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",",",",","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","byly","být","10","O","","","","Inan","Imp","","","","Fem,Masc","","","","","Plur","","Pos","","","Past","","Part","Act","","","","","","","","","","",""
"1","získány","získaný","11","O","","","","Inan","Perf","","Pos","","Fem,Masc","","","","","Plur","","Pos","","","","Short","Part","Pass","","","","","","","","","","",""
"1","dr","dr","12","B-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","No"
"1",".",".","13","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","",""
"1","V","V","14","I-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","No"
