"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-io","udpipe.misc.B-pd","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","o","o","1","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","P","P","2","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ATOVICEn.Le","Atovicen.le","3","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Kat","kat","1","O","","Yes","","","","","Pos","","","","","","","","","","Pos","","","","","","","","","","","","","","","","","No"
"1",".",".","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","obec","obec","3","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",":",":","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Osada","osada","5","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",":",":","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Trať","trať","7","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",":",":","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Pardubice","Pardubice","9","B-gu","Settlement name (City/Town)","","","","","Nom","","","Fem","","","Geo","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","Okres","okres","10","O","","","","Inan","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",":",":","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Druh","druh","12","O","","","","Inan","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","a","a","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","kultura","kultura","14","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",":",":","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Lužické","lužický","16","O","","","","","","Nom","Pos","","Neut","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","sídliště","sídliště","17","O","","","","","","Nom","","","Neut","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","Zpráva","zpráva","18","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","XXWžkumu","xxwžkum","19","O","","","","Inan","","Gen","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","XAterenta","xaterenta","20","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","kmixxxx","kmixxxx","21","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ved","ved","22","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","23","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","oddělení","oddělení","1","O","","","","","","Nom","","","Neut","","","","","","Sing","","","","","","","","Vnoun","","","","","","","","","","",""
"1","za","za","2","O","","","Prep","","","Acc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","období","období","3","O","","","","","","Acc","","","Neut","","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",":",":","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","19","19","5","B-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","Yes","","","","","No"
"1",".",".","6","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","No"
"1","111","111","7","I-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","Yes","","","","No"
"1",".1974",".1974","8","I-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","Yes",""
"1","Dne","den","1","O","","","","Inan","","Gen","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","19.III","19.iii","2","B-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","Yes","","","","","No"
"1",".",".","3","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","No"
"1","1974","1974","4","I-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","Yes","","",""
"1","jsije","být","5","O","","","","","Imp","","","","","","Ind","","","","Plur","3","Pos","","","","Pres","","Fin","Act","","","","","","","","","",""
"1","navštívili","navštívit","6","O","","","","Anim","Perf","","","","Masc","","","","","","Plur","","Pos","","","","Past","","Part","Act","","","","","","","","","",""
"1","pískovnu","pískovna","7","O","","","","","","Acc","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","JZD","JZD","8","B-g_","Geographical name (General)","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","9","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Opatovicích","Opatovice","10","B-gu","Settlement name (City/Town)","","","","","Loc","","","Fem","","","Geo","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","n","n","11","I-gu","Settlement name (City/Town)","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","12","I-gu","Settlement name (City/Town)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","L","L","13","I-gu","Settlement name (City/Town)","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","14","I-gu","Settlement name (City/Town)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","známou","známý","16","O","","","","","","Acc","Pos","","Fem","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","z","z","17","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","velkého","velký","18","O","","","","Inan","","Gen","Pos","","Masc","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","záchraného","záchraný","19","O","","","","Inan","","Gen","Pos","","Masc","","","","","","Sing","","Pos","","","","","","Part","Pass","","","","","","","","","",""
"1","výzkumu","výzkum","20","O","","","","Inan","","Gen","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
