"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","OBEC","obec","1","O","","","","Anim","","Nom","","","Masc","","","","Sing","","","","","","","","","","","","","","","",""
"1","OKRES","okres","2","O","","","","Inan","","Nom","","","Masc","","","","Sing","","","","","","","","","","","","","","","",""
"1","‘","‘","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","*","*","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","4242","4242","5","B-n_","Number expression (General)","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","No"
"1","&","&","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","7","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Vysoký","vysoký","1","O","","","","Inan","","Nom","Pos","","Masc","","","","Sing","","Pos","","","","","","","","","","","","","",""
"1","jez","jez","2","O","","","","Inan","","Nom","","","Masc","","","","Sing","","","","","","","","","","","","","","","",""
"1",".",".","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Mad","Mad","1","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","",""
"1","DrAMou","Drama","2","O","","","","","","Ins","","","Fem","","","","Sing","","","","","","","","","","","","","","","",""
"1","ČÍSLO","číslo","3","O","","","","","","Nom","","","Neut","","","","Sing","","","","","","","","","","","","","","","",""
"1","PARCELY","parcela","4","O","","","","","","Gen","","","Fem","","","","Sing","","","","","","","","","","","","","","","",""
"1","Rychnov","Rychnov","5","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","Masc","Geo","","","Sing","","","","","","","","","","","","","","","",""
"1","n.Kn","n.kn","6","I-gu","Settlement name (City/Town)","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","7","I-gu","Settlement name (City/Town)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Přílohy","příloha","1","O","","","","","","Nom","","","Fem","","","","Plur","","","","","","","","","","","","","","","",""
"1","NÁZEV","název","2","O","","","","Inan","","Nom","","","Masc","","","","Sing","","","","","","","","","","","","","","","",""
"1","TRATI","trať","3","O","","","","","","Gen","","","Fem","","","","Sing","","","","","","","","","","","","","","","",""
"1","Homole","Homole","1","O","","","","","","Nom","","","Fem","Geo","","","Sing","","","","","","","","","","","","","","","",""
"1","-","-","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","kopec","kopec","3","O","","","","Inan","","Nom","","","Masc","","","","Sing","","","","","","","","","","","","","","","",""
"1","SZ","SZ","4","B-gl","Nature/Landscape name (Mountain/River)","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","od","od","5","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","",""
"1","Vysokí","Vysokí","6","B-gu","Settlement name (City/Town)","","","","","Gen","","","Neut","Geo","","","Sing","","","","","","","","","","","","","","","","No"
"1","-","-","7","I-gu","Settlement name (City/Town)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Újezda","Újezd","8","I-gu","Settlement name (City/Town)","","","Inan","","Gen","","","Masc","Geo","","","Sing","","","","","","","","","","","","","","","",""
"1","pokryt","pokrytý","9","O","","","","","Perf","","Pos","","Masc","","","","Sing","","Pos","","","","Short","Part","Pass","","","","","","","",""
"1","lesem","les","10","O","","","","Inan","","Ins","","","Masc","","","","Sing","","","","","","","","","","","","","","","","No"
"1",".",".","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ho","on","1","O","","","","","","Acc","","","Masc,Neut","","","","Sing","3","","Prs","","","Short","","","","","","","","","",""
"1","Kultura","kultura","2","O","","","","","","Nom","","","Fem","","","","Sing","","","","","","","","","","","","","","","",""
"1","Z","Z","3","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ČÍSLO","číslo","5","O","","","","","","Nom","","","Neut","","","","Sing","","","","","","","","","","","","","","","",""
"1","MAPY","mapa","6","O","","","","","","Gen","","","Fem","","","","Sing","","","","","","","","","","","","","","","",""
"1","Druh","druh","7","O","","","","Inan","","Nom","","","Masc","","","","Sing","","","","","","","","","","","","","","","",""
"1","nálezu","nález","8","O","","","","Inan","","Gen","","","Masc","","","","Sing","","","","","","","","","","","","","","","",""
"1","keramcké","keramcký","9","O","","","","Inan","","Nom","Pos","","Masc","","","","Plur","","Pos","","","","","","","","","","","","","",""
"1","střepy","střep","10","O","","","","Inan","","Nom","","","Masc","","","","Plur","","","","","","","","","","","","","","","",""
"1","LITERATURA","literatura","11","O","","","","","","Nom","","","Fem","","","","Sing","","","","","","","","","","","","","","","",""
"1","Uložení","uložení","12","O","","","","","","Nom","","","Neut","","","","Sing","","","","","","","Vnoun","","","","","","","","",""
"1","Rukopisné","rukopisný","13","O","","","","","","Gen","Pos","","Fem","","","","Sing","","Pos","","","","","","","","","","","","","",""
"1","poznámky","poznámka","14","O","","","","","","Gen","","","Fem","","","","Sing","","","","","","","","","","","","","","","",""
"1","str","strana","15","O","","Yes","","","","","","","Fem","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","56","56","17","B-nb","Volu-metric number","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","",""
"1",",",",","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","autora","autor","19","O","","","","Anim","","Gen","","","Masc","","","","Sing","","","","","","","","","","","","","","","",""
"1",".",".","20","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Čis","Čis","1","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","inv","inv","3","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",",",",","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","■","■","6","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","",""
"1","Ľne","Ľne","7","B-mn","Periodical name (Newspaper/Magazine)","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","",""
"1","22","22","8","B-T","Complex time expressions","","","","","","","","","","Digit","Card","","","","","","","","","","","","Yes","","","","","No"
"1",".",".","9","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","",""
"1","11","11","10","I-T","Complex time expressions","","","","","","","","","","Digit","Card","","","","","","","","","","","","","Yes","","","","No"
"1",".",".","11","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","No"
"1","1974","1974","12","I-T","Complex time expressions","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","Yes","","",""
"1",".",".","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","7","7","1","O","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","",""
"1","P.Jiru","P.jiru","2","B-P","Complex personal names","","","Anim","","Nom","","","Masc","Giv","","","Sing","","","","","","","","","Yes","","","","","","","No"
"1","šek","Šek","3","I-P","Complex personal names","","","Anim","","Nom","","","Masc","Giv","","","Sing","","","","","","","","","","Yes","","","","","",""
"1","starousedlík","starousedlík","4","O","","","","Anim","","Nom","","","Masc","","","","Sing","","","","","","","","","","","","","","","",""
"1","v","v","5","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","",""
"1","obci","obec","6","O","","","","","","Loc","","","Fem","","","","Sing","","","","","","","","","","","","","","","",""
"1","Vysoký","vysoký","7","B-gu","Settlement name (City/Town)","","","Inan","","Nom","Pos","","Masc","","","","Sing","","Pos","","","","","","","","","","","","","",""
"1","Újezd","Újezd","8","I-gu","Settlement name (City/Town)","","","Inan","","Nom","","","Masc","Geo","","","Sing","","","","","","","","","","","","","","","",""
"1","podal","podat","9","O","","","","","Perf","","","","Masc","","","","Sing","","Pos","","","Past","","Part","Act","","","","","","","",""
"1","informaci","informace","10","O","","","","","","Acc","","","Fem","","","","Sing","","","","","","","","","","","","","","","",""
"1",",",",","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","že","že","12","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","před","před","13","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","",""
"1","mnoha","mnoho","14","O","","","","","","Ins","","","","","","Card","","","","Ind","","","","","","","","","","","","",""
"1","lety","léta","15","O","","","","","","Ins","","","Neut","","","","Plur","","","","","","","","","","","","","","","",""
"1","si","se","16","O","","","","","","Dat","","","","","","","","","","Prs","Yes","","Short","","","","","","","","","",""
"1","rolníci","rolník","17","O","","","","Anim","","Nom","","","Masc","","","","Plur","","","","","","","","","","","","","","","",""
"1","v","v","18","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","",""
"1","místě","místo","19","O","","","","","","Loc","","","Neut","","","","Sing","","","","","","","","","","","","","","","",""
"1","Homole","Homole","20","B-gq","Urban geographical name (Street/Square)","","","","","Gen","","","Fem","Geo","","","Sing","","","","","","","","","","","","","","","",""
"1","kopali","kopat","21","O","","","","Anim","Imp","","","","Masc","","","","Plur","","Pos","","","Past","","Part","Act","","","","","","","",""
"1","krechty","krecht","22","O","","","","Inan","","Acc","","","Masc","","","","Plur","","","","","","","","","","","","","","","",""
"1","na","na","23","O","","","Prep","","","Acc","","","","","","","","","","","","","","","","","","","","","","",""
"1","uskladnení","uskladnení","24","O","","","","","","Acc","","","Neut","","","","Sing","","","","","","","Vnoun","","","","","","","","",""
"1","brambor","brambora","25","O","","","","","","Gen","","","Fem","","","","Plur","","","","","","","","","","","","","","","",""
"1","a","a","26","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","řepy","řepa","27","O","","","","","","Gen","","","Fem","","","","Sing","","","","","","","","","","","","","","","",""
"1",".",".","28","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Při","při","1","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","",""
"1","kopání","kopání","2","O","","","","","","Loc","","","Neut","","","","Sing","","","","","","","Vnoun","","","","","","","","","No"
"1",",",",","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nalezeno","nalezený","4","O","","","","","Perf","","Pos","","Neut","","","","Sing","","Pos","","","","Short","Part","Pass","","","","","","","",""
"1","mnoho","mnoho","5","O","","","","","","Nom","","","","","","Card","","","","Ind","","","","","","","","","","","","",""
"1","různých","různý","6","O","","","","Inan","","Gen","Pos","","Masc","","","","Plur","","Pos","","","","","","","","","","","","","",""
"1","keramických","keramický","7","O","","","","Inan","","Gen","Pos","","Masc","","","","Plur","","Pos","","","","","","","","","","","","","",""
"1","střepu","střep","8","O","","","","Inan","","Gen","","","Masc","","","","Sing","","","","","","","","","","","","","","","",""
"1",".",".","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
