"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PrepCase","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-gu","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","Kat","Kat","1","O","","Yes","","","","","","Fem","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","obec","obec","3","O","","","","","","Nom","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","Beroun","Beroun","4","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","",""
"1","_","_","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","I","i","1","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Osada","osada","2","O","","","","","","Nom","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","Trať","trať","3","O","","","","","","Nom","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","čp","čp","4","O","","Yes","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","34","34","6","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","No"
"1",",",",","7","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","35","35","8","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","No"
"1",",",",","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","36","36","10","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","",""
"1","Okres","okres","11","O","","","","Inan","","Nom","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","Beroun","Beroun","12","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","",""
"1","CSAV’","CSAV’","13","B-io","Organization/Society","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","14","I-io","Organization/Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","cheologický","cheologický","15","I-io","Organization/Society","","","Inan","","Nom","Pos","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","ústav","ústav","16","I-io","Organization/Society","","","Inan","","Nom","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","•","•","17","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","2","2","18","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","",""
"1","*","*","19","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","6","6","20","B-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","Yes","","","","","No"
"1",".",".","21","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","",""
"1","X","X","22","I-T","Complex time expressions","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","",""
"1","1984","1984","23","I-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","Yes","","",""
"1","Druh","druh","24","O","","","","Inan","","Nom","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","a","a","25","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","kultura","kultura","26","O","","","","","","Nom","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1",".",".","27","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","2415","2415","28","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","No"
"1","/","/","29","I-n_","Number expression (General)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","2","2","30","I-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","No"
"1",".",".","31","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","32","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","středověká","středověký","33","O","","","","","","Nom","Pos","Neut","","","","","","","Plur","","Pos","","","","","","","","","","","","","","",""
"1","městiště","městiště","34","O","","","","","","Nom","","Neut","","","","","","","Plur","","","","","","","","","","","","","","","","",""
"1","-","-","35","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","ved","ved","36","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","37","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","výzkumu","výzkum","38","O","","","","Inan","","Gen","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","Zpráva","zpráva","39","O","","","","","","Nom","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","koreferenta","koreferent","40","O","","","","Anim","","Gen","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","komise","komise","41","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","ved","ved","42","O","","Yes","","","","","Pos","","","","","","","","","","Pos","","","","","","","","","","","","","","","No"
"1",".",".","43","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","oddelení","oddelení","44","O","","","","","","Gen","","Neut","","","","","","","Sing","","","","","","","","","Vnoun","","","","","","","",""
"1","za","za","45","O","","","Prep","","","Acc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Období","období","46","O","","","","","","Acc","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","10","10","47","B-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","Yes","","","","","No"
"1",".",".","48","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","No"
"1","9","9","49","I-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","Yes","","","","No"
"1",".",".","50","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","No"
"1","-","-","51","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
