"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.Animacy","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.VerbForm","udpipe.misc.B-gu","udpipe.misc.SpaceAfter"
"1","1","1","1","B-n_","Number expression (General)","","","","","","","","Digit","Card","","","","","","No"
"1",",",",","2","O","","","","","","","","","","","","","","","","No"
"1","4442","4442","3","B-n_","Number expression (General)","","","","","","","","Digit","Card","","","","","","No"
"1",",",",","4","O","","","","","","","","","","","","","","","","No"
"1","70","70","5","B-n_","Number expression (General)","","","","","","","","Digit","Card","","","","","","No"
"1","/","/","6","I-n_","Number expression (General)","","","","","","","","","","","","","","",""
"1","504","504","7","I-n_","Number expression (General)","","","","","","","","Digit","Card","","","","","",""
"1","ONDREJOV","Ondrejov","8","B-gu","Settlement name (City/Town)","","Inan","Nom","","Masc","","Geo","","","Sing","","","","","No"
"1",",",",","9","O","","","","","","","","","","","","","","","",""
"1","okr","okrázek","10","O","","Yes","Inan","","","Masc","","","","","","","","","","No"
"1",".",".","11","O","","","","","","","","","","","","","","","",""
"1","Praha","Praha","12","B-gr","Territorial name (State/Region)","","","Nom","","Fem","","Geo","","","Sing","","","","Yes","No"
"1","-","-","13","I-gr","Territorial name (State/Region)","","","","","","","","","","","","","","","No"
"1","východ","východ","14","I-gr","Territorial name (State/Region)","","Inan","Nom","","Masc","","","","","Sing","","","","",""
"1","504","504","15","B-n_","Number expression (General)","","","","","","","","Digit","Card","","","","","","No"
"1","/","/","16","I-n_","Number expression (General)","","","","","","","","","","","","","","","No"
"1","1","1","17","I-n_","Number expression (General)","","","","","","","","Digit","Card","","","","","",""
"1","DAT","DAT","18","O","","Yes","","","","","","","","","","","","","","No"
"1",":",":","19","O","","","","","","","","","","","","","","","",""
"1","1820","1820","20","B-n_","Number expression (General)","","","","","","","","Digit","Card","","","","","","No"
"1",".",".","21","O","","","","","","","","","","","","","","","",""
"1","KULT","kult","1","O","","","Inan","Nom","","Masc","","","","","Sing","","","","","No"
"1",":",":","2","O","","","","","","","","","","","","","","","",""
"1","7","7","3","B-ni","Itemizer (1.)","","","","","","","","Digit","Card","","","","","","No"
"1",".",".","4","O","","","","","","","","","","","","","","","",""
"1","LOK","LOK","5","O","","Yes","","","","","","","","","","","","","","No"
"1",":",":","6","O","","","","","","","","","","","","","","","",""
"1","Bubníkova","Bubníkův","7","B-ps","Surname","","","Nom","","Fem","Masc","Giv","","","Sing","","Yes","","",""
"1","usedlost","usedlost","8","O","","","","Nom","","Fem","","","","","Sing","","","","","No"
"1",".",".","9","O","","","","","","","","","","","","","","","",""
"1","NALEZ","Nalez","1","O","","","Anim","Nom","","Masc","","Giv","","","Sing","","","","","No"
"1",":",":","2","O","","","","","","","","","","","","","","","",""
"1","kostr","kostr","3","O","","Yes","","","Pos","","","","","","","Pos","","","","No"
"1",".",".","4","O","","","","","","","","","","","","","","","",""
"1","hrob","hrob","5","O","","","Inan","Nom","","Masc","","","","","Sing","","","","","No"
"1",".",".","6","O","","","","","","","","","","","","","","","",""
"1","OKOL","okol","7","O","","","Inan","Nom","","Masc","","","","","Sing","","","","","No"
"1",":",":","8","O","","","","","","","","","","","","","","","",""
"1","kopání","kopání","9","O","","","","Nom","","Neut","","","","","Sing","","","Vnoun","",""
"1","základu","základ","10","O","","","Inan","Gen","","Masc","","","","","Sing","","","","",""
"1","hrnčíř","hrnčíř","11","O","","","Anim","Nom","","Masc","","","","","Sing","","","","","No"
"1",",",",","12","O","","","","","","","","","","","","","","","",""
"1","pece","pec","13","O","","","","Nom","","Fem","","","","","Plur","","","","","No"
"1",".",".","14","O","","","","","","","","","","","","","","","",""
"1","ULOŽ","ulož","1","O","","","Inan","Nom","","Masc","","","","","Sing","","","","","No"
"1",":",":","2","O","","","","","","","","","","","","","","","",""
"1","7","7","3","O","","","","","","","","","Digit","Card","","","","","","No"
"1",".",".","4","O","","","","","","","","","","","","","","","",""
"1","LIT","LIT","5","O","","Yes","","","","","","","","","","","","","","No"
"1",":",":","6","O","","","","","","","","","","","","","","","",""
"1","Kalina","Kalina","7","B-ps","Surname","","Anim","Nom","","Masc","","Giv","","","Sing","","","","",""
"1","b","b","8","O","","Yes","","","","","","","","","","","","","","No"
"1",".",".","9","O","","","","","","","","","","","","","","","",""
"1","d","d","10","O","","Yes","","","","","","","","","","","","","","No"
"1",".",".","11","O","","","","","","","","","","","","","","","",""
"1","A","A","12","O","","Yes","","","","","","","","","","","","","","No"
"1",",",",","13","O","","","","","","","","","","","","","","","",""
"1","107","107","14","O","","","","","","","","","Digit","Card","","","","","","No"
"1","b","b","15","O","","Yes","Inan","","","Masc","","","","","","","","","","No"
"1",".",".","16","O","","","","","","","","","","","","","","","","No"
