"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.ConjType","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Number[psor]","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PrepCase","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-az","udpipe.misc.B-if","udpipe.misc.B-n_","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-az","udpipe.misc.I-pf","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","3444","3444","1","O","","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","74","74","3","O","","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","NÁLEZOVÁ","nálezový","4","O","","","","","","Nom","","Pos","","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","",""
"1","ZPRÁVA","zpráva","5","O","","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","",""
"1","O","o","6","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ARCHEOLOGICKÉM","archeologický","7","O","","","","Inan","","Loc","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","",""
"1","VÝZKUMU","výzkum","8","O","","","","Inan","","Loc","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","",""
"1","V","v","9","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","DOMĚ","dům","10","O","","","","Inan","","Loc","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ČP","ČP","11","O","","Yes","","Inan","","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","12","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","193","193","13","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","14","I-n_","Number expression (General)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","1","1","15","I-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","NA","na","16","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","KŘIŽOVNICKÉN","křižovnický","17","B-gs","Super-terrestrial name (Star/Planet)","","","","","Loc","","Pos","","Neut","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","",""
"1","NÁMĚSTÍ","náměstí","18","I-gs","Super-terrestrial name (Star/Planet)","","","","","Loc","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","",""
"1","NA","na","19","B-gs","Super-terrestrial name (Star/Planet)","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","STARÉM","starý","20","I-gs","Super-terrestrial name (Star/Planet)","","","","","Loc","","Pos","","Neut","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","",""
"1","MĚSTĚ","město","21","I-gs","Super-terrestrial name (Star/Planet)","","","","","Loc","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","",""
"1","PRAŽSKÉM","pražský","22","B-gs","Super-terrestrial name (Star/Planet)","","","","","Loc","","Pos","","Neut","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","",""
"1","Číslo","číslo","1","O","","","","","","Nom","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","",""
"1","vý","vý","2","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","=","=","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","kumu","kum","4","O","","","","Inan","","Gen","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","",""
"1","21","21","5","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","6","I-n_","Number expression (General)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","93","93","7","I-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Obsah","obsah","8","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","",""
"1",":",":","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1","1","10","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Dějiny","dějiny","1","O","","","","","","Nom","","","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","",""
