"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-P","udpipe.misc.B-ah","udpipe.misc.B-az","udpipe.misc.B-gr","udpipe.misc.B-gs","udpipe.misc.B-gu","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-P","udpipe.misc.I-az","udpipe.misc.I-gr","udpipe.misc.I-ps","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","BÍTOV","bítov","1","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","U","u","2","B-if","Company/Firm","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","KONĚPRUS","Koněprus","3","I-if","Company/Firm","","","","","Gen","","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","Yes","","","","","","","","","","No"
"1",",",",","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","OKR","OKR","5","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","BEROUN","Beroun","1","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","STAVBA","stavba","1","O","","","","","","Nom","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ELEKTRICKÉ","elektrický","2","O","","","","","","Gen","Pos","","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","PŘÍPOJKY","přípojka","3","O","","","","","","Gen","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","K","k","4","O","","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","RD","RD","5","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ČP","ČP","6","O","","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","7","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","10","10","8","B-n_","Number expression (General)","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","NÁLEZOVÁ","nálezový","9","O","","","","","","Nom","Pos","","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","ZPRÁVA","zpráva","10","O","","","","","","Nom","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","O","o","11","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ARCHEOLOGICKÉM","archeologický","12","O","","","","Inan","","Loc","Pos","","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","DOHLEDU","dohled","13","O","","","","Inan","","Loc","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","P","P","14","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","*","*","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","AVerPEPNeblogický","averpepneblogický","16","B-ic","Cult/Educational institution","","","Inan","","Nom","Pos","","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","ústav","ústav","17","I-ic","Cult/Educational institution","","","Inan","","Nom","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ÚAPPSČ","ÚAPPSČ","18","I-ic","Cult/Educational institution","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","PRAHA","Praha","19","I-ic","Cult/Educational institution","","","","","Nom","","","Fem","","","","Geo","","","Sing","","","","","","","","","","","","","Yes","","","","","","","","","","","",""
"1","09","09","20","O","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","°","°","21","O","","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1","1","22","O","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","0","0","23","O","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","24","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","04","04","25","O","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","26","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","2006","2006","27","B-ty","Year","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Zprávu","zpráva","1","O","","","","","","Acc","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","podává","podávat","2","O","","","","","Imp","","","","","","","Ind","","","","Sing","3","Pos","","Pres","","Fin","Act","","","","","","","","","","","","","","","","","","No"
"1",":",":","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","DANIEL","Daniel","4","B-P","Complex personal names","","","Anim","","Nom","","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","","","Yes","","","","","","","","","","",""
"1","STOLZ","Stolz","5","I-P","Complex personal names","","","Anim","","Nom","","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","","","","Yes","","","","","","","","","",""
"1","c","c","6","I-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","No"
"1",",",",","7","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Čislo","Čislo","8","O","","","","","","Nom","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","jednací","jednací","9","O","","","","Anim","","Nom","Pos","","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","10","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","424","424","11","B-n_","Number expression (General)","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","12","I-n_","Number expression (General)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","05","05","13","I-n_","Number expression (General)","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Kl","Kl","14","I-n_","Number expression (General)","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Základní","základní","1","O","","","","Inan","","Nom","Pos","","Masc","","","","","","","Plur","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
