"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.PronType","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-ah","udpipe.misc.B-az","udpipe.misc.B-gc","udpipe.misc.B-gs","udpipe.misc.B-gu","udpipe.misc.B-ic","udpipe.misc.B-pd","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.I-az","udpipe.misc.I-ic","udpipe.misc.I-pd","udpipe.misc.SpaceAfter"
"1","Č","český","1","O","","Yes","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","akce","akce","3","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","45938","45938","4","B-n_","Number expression (General)","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","ARCHEOLOGICKÝ","archeologický","5","B-ic","Cult/Educational institution","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","ÚSTAV","ústav","6","I-ic","Cult/Educational institution","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","AKADEMIE","akademie","7","I-ic","Cult/Educational institution","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","Yes","","","","","","","",""
"1","VĚD","věda","8","I-ic","Cult/Educational institution","","","","","Gen","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","","Yes","",""
"1","ČR","ČR","9","I-ic","Cult/Educational institution","Yes","","","","","","","","","Geo","","","","","","","","","","","","","Yes","","","","","","","","","","","No"
"1",",",",","10","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Praha","Praha","11","B-gu","Settlement name (City/Town)","","","","","Nom","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","12","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","13","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","v","v","15","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","i","i","17","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","118","118","1","B-az","Zip code","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","01","01","2","I-az","Zip code","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","Praha","Praha","3","B-gu","Settlement name (City/Town)","","","","","Nom","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","1","1","4","B-n_","Number expression (General)","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Malá","malý","6","B-gq","Urban geographical name (Street/Square)","","","","","Nom","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","Strana","strana","7","I-gq","Urban geographical name (Street/Square)","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Letenská","letenský","9","B-gs","Super-terrestrial name (Star/Planet)","","","","","Nom","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","4","4","10","B-ah","Street address","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","Pracoviště","pracoviště","11","O","","","","","","Nom","","","Neut","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","Kutná","Kutná","12","B-gu","Settlement name (City/Town)","","","","","Nom","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","Hora","hora","13","I-gu","Settlement name (City/Town)","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Hloušecká","hloušecký","15","B-gs","Super-terrestrial name (Star/Planet)","","","","","Nom","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","609","609","16","B-ah","Street address","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","284","284","18","B-az","Zip code","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","01","01","19","I-az","Zip code","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","Kutná","Kutná","20","B-gu","Settlement name (City/Town)","","","","","Nom","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","Hora","hora","21","I-gu","Settlement name (City/Town)","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","tel","telefon","22","O","","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","23","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","24","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","327","327","25","B-at","Phone/Fax number","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","511","511","26","I-at","Phone/Fax number","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","730","730","27","I-at","Phone/Fax number","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","28","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","e","e","29","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","30","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
