document_id,kw-1,score-1,kw-2,score-2,kw-3,score-3,kw-4,score-4,kw-5,score-5,kw-6,score-6,kw-7,score-7,kw-8,score-8,kw-9,score-9,kw-10,score-10,kw-11,score-11,kw-12,score-12,kw-13,score-13,kw-14,score-14,kw-15,score-15,kw-16,score-16,kw-17,score-17,kw-18,score-18,kw-19,score-19,kw-20,score-20
CTX195603828,1956 výzkum slovanského,0.7093,solle spolupracovali,0.6182,slovanského hradiště zpráva,0.6033,základní slovanské sídlištní,0.5661,okr ji hradiska,0.5491,prokopáno,0.5354,září 1956 vedoucím,0.4995,metodou zjištěn,0.4808,dr iloš solle,0.4552,úspěchem předchozí,0.4528,56 sondou,0.4478,stavební úpravy nejstarší,0.4162,stránce výzkumné 10,0.4097,ověřeno ukončení hradby,0.3646,dělníků stálí,0.3597,hrobové akumulace vystopování,0.339,předchozí fosfátové,0.318,muže železnými nožíky,0.3048,výzkum bude uzavřen,0.2647,kouřim kolín praze,0.2557
CTX195704328,1957 uurn ojedinělý,0.6245,kat obec uny,0.5559,provedení výzkumu těchto,0.5207,do chodoun,0.5063,roudnice,0.4649,pískovně kde místní,0.4347,pt 14332 55,0.4326,získalo odtud museum,0.4275,55 části,0.4124,návštěvě 26 ix,0.4059,tří hrobů ukazuje,0.3713,nález okolnosti neznámy,0.3611,praeoex zachycen,0.3535,referent zastoupení km,0.3489,povrchovém,0.34,mm,0.3337,vojtěškou majitel,0.268,občané těží dle,0.1992,uvedte datum odoslání,0.1739,věřím že by,0.0915
CTX196006127,lístopisný slovnik historický,0.6657,literatura sedláček,0.6475,středověk číslo mapy,0.6191,keramiky posdn hradištní,0.5996,potenštejn kultura středověk,0.5724,název trati,0.5491,výsva správee 6kresního,0.5405,keramika kosti,0.5404,zemině ol hozené,0.5382,6kresního muzea blovi,0.5292,mapy kooa druh,0.5032,nálezy hradištní keranikry,0.4912,str 721 uložení,0.475,kultura,0.4567,sběru byly předány,0.4148,50 vehodem,0.4092,stole byl,0.3813,jih vir blovice,0.3804,alive jsme nalez2í,0.2845,stavba není,0.2489
CTX196300443,jih archeologická sbírka,0.7346,ceskoslovenska akadem vek,0.6425,výzkumu srbech 1960,0.6155,1881 výkopech mohyl,0.5872,ohlašuje nálezy exposituře,0.5827,soubor eneol,0.536,libákovice_,0.524,63 plzeň axcmtoir,0.5204,depot rshraní bda,0.5197,sběří ředitele muzea,0.5166,okres plzeň jih,0.4886,proveden výzkum netunicích,0.4878,žáka 1881,0.4699,stkových položkách instalace,0.4569,data vznikla ponejvíce,0.4562,exgesitura plzal 48,0.4379,pořádku přehled sbírky,0.4224,1962 byl na,0.3448,tyčink nátamek rozrušené,0.3309,rozhraní střední mladší,0.3101
CTX197200659,pozůstatcích halštatské mohyly,0.6591,záchranném výzkumu halštatské,0.6339,kůstky byly vyzved,0.5867,57 kůstky jamce,0.5577,nalezeno též několik,0.5371,materiálu bylo nalezeno,0.5298,kšicích tachov lidské,0.5205,hrobu po rozplavení,0.5039,fragmenty kompakty končetinových,0.4986,nádoby 16 severovýchodním,0.4922,antropologickému rozboru byly,0.4866,1971 kůstky byly,0.4836,zlomků mozkovny tlouštce,0.4349,zjištěn jediný drobný,0.4289,získány dr,0.4235,neopakují se anatomické,0.4081,počet fragmentů,0.3937,tachov,0.3652,přestavby kostní,0.3581,spálení nažloutlé zbarvení,0.2494
CTX197402444,zpráva xxwžkumu xaterenta,0.6034,navštívili pískovnu,0.517,atovicen,0.4813,výzkumu opatovicích domnívám,0.447,výzkumu aů čsav,0.4451,dr vokolek,0.4295,oddělení za období,0.4175,pardubice,0.4063,1974 r_,0.3977,1959 tehdy práce,0.394,1510 scvernt,0.3895,kmixxxx ved oddělení,0.3858,okres druh kultura,0.3523,zničeny podle teréního,0.3433,pokud možno strojem,0.3159,výzkum byl přerušen,0.3072,jzd opatovicích,0.3007,objekty,0.2949,koreferenta komisí vyhotovte,0.29,našli na parc,0.2412
CTX197901442,keramcké střepy literatura,0.685,přílohy název trati,0.673,str 56 autora,0.6477,jirušek starousedlík obci,0.6337,kn přílohy,0.615,místě homole kopali,0.5943,rukopisné poznámky str,0.5933,před mnoha,0.5818,jirušek,0.5203,ho kultura číslo,0.5133,11 1974 jirušek,0.5103,kopání nalezeno mnoho,0.4947,homole kopec sz,0.4684,pokryt lesem ho,0.4598,parcely rychnov kn,0.4285,újezda pokryt,0.4208,homole kopec,0.4016,číslo mapy druh,0.385,rodte map 2fee,0.3418,materiál nebyl,0.2588
CTX198402945,středověká městiště ved,0.6787,2415 středověká,0.6362,dokumentovali stratigrafickou,0.5651,berouně,0.5568,nejstarší dosažitelné pozůstatky,0.5408,vrstvou místy popelovité,0.5344,nám berouně odkryli,0.5239,1984 harvát,0.5069,1599 následující pískový,0.5035,druh kultura 2415,0.4997,na gottwaldově nám,0.4419,domu čp 36,0.4163,až popelo vitou,0.4,místy na maltu,0.3958,zprávy koreferentů komisí,0.3587,csp peroun,0.3362,období 10,0.3317,cheologický ústav,0.3151,pracovníky,0.2029,katastrofálním požárem,0.2026
CTX198603218,čechách 1983,0.6126,zsv tzv husitského,0.5862,jv od,0.5566,výzkumy jižních čechách,0.5377,zm 23 133,0.525,od okol systematický,0.4862,geodeticko,0.4482,odkryty,0.4353,cm od počátku,0.4271,mhrh tábor výzkumem,0.4244,ca 5km jv,0.423,osou,0.4204,středověké vesnice,0.4176,cm hluboká studna,0.4094,pomístním názvem stará,0.3927,typu prostým otevřeným,0.3883,lese pomístním názvem,0.3172,15 stol,0.3105,materiál datuje objekt,0.2755,průměru 80,0.1947
CTX199405706,ondrejov okr,0.6804,504 ondrejov okr,0.6386,kalina,0.5573,okr,0.5261,praha východ 504,0.5143,ondrejov okr praha,0.5126,lit kalina 107b,0.4861,504 dat 1820,0.4673,okr praha východ,0.4478,základu hrnčíř,0.4247,usedlost nalez,0.4229,ulož lit kalina,0.4197,4442 70,0.4096,kopání základu,0.3889,kult,0.3701,107b,0.3656,70,0.3377,kostr,0.3245,nalez kostr hrob,0.2561,pece,0.2097
