document_id,kw-1,score-1,kw-2,score-2,kw-3,score-3,kw-4,score-4,kw-5,score-5,kw-6,score-6,kw-7,score-7,kw-8,score-8,kw-9,score-9,kw-10,score-10,kw-11,score-11,kw-12,score-12,kw-13,score-13,kw-14,score-14,kw-15,score-15,kw-16,score-16,kw-17,score-17,kw-18,score-18,kw-19,score-19,kw-20,score-20
CTX195603828,pohřebiště,5.0,výzkum,4.0,pohřeb,4.0,pracoviště,3.0,sonda,3.0,kamenný,3.0,věc,2.0,starý,2.0,slovanský,2.0,hradiště,2.0,vedoucí,2.0,práce,2.0,úsek,2.0,uzavřený,2.0,hradba,2.0,jižní,2.0,hradisko,2.0,výzkumný,2.0,metoda,2.0,zjištěný,2.0
CTX195704328,pohřebiště,5.0,rok,5.0,hrob,5.0,další,5.0,pískovna,3.0,výzkum,3.0,malý,3.0,rozrušený,3.0,nádoba,3.0,část,3.0,obec,2.0,únětický,2.0,lužický,2.0,žárový,2.0,plánovaný,2.0,naleziště,2.0,pole,2.0,místo,2.0,konec,2.0,opukový,2.0
CTX196006127,strana,3.0,stavba,3.0,blovice,2.0,číslo,2.0,nález,2.0,keramika,2.0,kost,2.0,historický,2.0,metr,2.0,ol,2.0,hradištní,2.0,ostrožna,2.0,západ,2.0,val,2.0,obec,1.0,žinkův,1.0,okres,1.0,lzeň,1.0,jih,1.0,vir,1.0
CTX196300443,muzeum,4.0,nález,4.0,sbírka,3.0,blovice,3.0,mladý,3.0,sídliště,3.0,sběr,3.0,bronz,3.0,drobný,3.0,mohyla,3.0,plzeň,2.0,zpráva,2.0,archeologický,2.0,blovicko,2.0,poříčí,2.0,ústavní,2.0,výzkum,2.0,přehled,2.0,libákovice,2.0,rok,2.0
CTX197200659,kůstka,10.0,sáček,10.0,číslo,9.0,kostní,9.0,nádoba,8.0,roh,8.0,milimetr,7.0,drobný,6.0,fragment,6.0,malý,5.0,část,4.0,hromádka,4.0,množství,4.0,drt,4.0,kompakt,4.0,mozkovna,4.0,tlouštka,4.0,antropologický,3.0,pozůstatek,3.0,jediný,3.0
CTX197402444,výzkum,7.0,sídliště,5.0,pískovna,5.0,opatovice,3.0,praha,3.0,lužický,2.0,zpráva,2.0,den,2.0,čsav,2.0,práce,2.0,objekt,2.0,paec,2.0,číslo,2.0,další,2.0,kat,1.0,obec,1.0,osada,1.0,trať,1.0,pardubice,1.0,okres,1.0
CTX197901442,obec,2.0,vysoký,2.0,číslo,2.0,homole,2.0,újezd,2.0,střep,2.0,keramický,2.0,okres,1.0,jez,1.0,mad,1.0,drama,1.0,parcela,1.0,rychnov,1.0,příloha,1.0,název,1.0,trať,1.0,kopec,1.0,sz,1.0,vysokí,1.0,pokrytý,1.0
CTX198402945,jímka,12.0,vrstva,9.0,čp,5.0,trakt,5.0,spodní,5.0,část,5.0,sonda,5.0,beroun,4.0,výzkum,4.0,zadní,4.0,dům,4.0,centimetr,4.0,hlinitý,4.0,dno,3.0,výše,3.0,režný,3.0,keramika,3.0,četný,3.0,berounský,3.0,zboží,3.0
CTX198603218,objekt,11.0,centimetr,10.0,výzkum,7.0,tábor,5.0,odkrytý,4.0,ves,3.0,zsv,3.0,číslo,3.0,archeologický,3.0,stěna,3.0,stavba,3.0,průměr,3.0,turovec,2.0,chýnov,2.0,středověk,2.0,kravín,2.0,systematický,2.0,středověký,2.0,léta,2.0,mhrh,2.0
CTX199405706,ondrejov,1.0,okrázek,1.0,praha,1.0,východ,1.0,dat,1.0,kult,1.0,lok,1.0,bubníkův,1.0,usedlost,1.0,nalez,1.0,kostr,1.0,hrob,1.0,okol,1.0,kopání,1.0,základ,1.0,hrnčíř,1.0,pec,1.0,ulož,1.0,lit,1.0,kalina,1.0
CTX199603106,pilíř,16.0,centimetr,13.0,pískovcový,13.0,zdivý,11.0,kvádr,10.0,číslo,9.0,dům,8.0,líc,8.0,dochovaný,8.0,obklad,8.0,objekt,7.0,plánek,7.0,most,7.0,místnost,7.0,zeď,7.0,foto,7.0,západní,6.0,stěna,6.0,severní,6.0,malta,6.0
CTX200603179,archeologický,6.0,výzkum,5.0,beroun,4.0,stavba,4.0,situace,4.0,bítov,3.0,koněprus,3.0,dohled,3.0,daniel,3.0,stolz,3.0,základní,3.0,mapa,3.0,investor,3.0,stavební,3.0,elektrický,2.0,přípojka,2.0,rd,2.0,čp,2.0,zpráva,2.0,ústav,2.0
CTX201405311,archeologický,10.0,akce,7.0,kutná,6.0,hora,6.0,praha,4.0,pracoviště,4.0,čáslav,4.0,dohled,4.0,stavba,4.0,čr,3.0,mgr,3.0,rodinný,3.0,dům,3.0,ph,3.0,ústav,2.0,spodní,2.0,brno,2.0,novostavba,2.0,ppč,2.0,znění,2.0
CTX201601688,hrad,23.0,sběr,23.0,skuhrov,16.0,poloha,13.0,běla,10.0,číslo,8.0,obrázek,8.0,keramika,7.0,nález,7.0,slavík,6.0,zlomek,6.0,př,6.0,plánek,5.0,zl,5.0,výzkum,4.0,nalezený,4.0,okraj,4.0,stol,4.0,rychnov,3.0,popis,3.0
