document_id,kw-1,score-1,kw-2,score-2,kw-3,score-3,kw-4,score-4,kw-5,score-5,kw-6,score-6,kw-7,score-7,kw-8,score-8,kw-9,score-9,kw-10,score-10,kw-11,score-11,kw-12,score-12,kw-13,score-13,kw-14,score-14,kw-15,score-15,kw-16,score-16,kw-17,score-17,kw-18,score-18,kw-19,score-19,kw-20,score-20
CTX195603828,Stará Kouřim,1.0,Praze dne,0.388314,slovanského hradiště Zpráva,0.088805,Kolín,0.065503,Stará,0.058337,Kouřim,0.058337,Praze,0.052557,Pracoviště,0.050501,Zpráva za září,0.04676,hradiště Zpráva,0.041937,Výzkum slovanského hradiště,0.033022,sondou bylo,0.032603,Věc,0.029439,iloš Solle,0.029032,tomto úseku,0.02798,pohřebiště,0.027746,dne,0.025279,Práce,0.020487,bez,0.019784,slovanského hradiště,0.01924
CTX195704328,Čmejlova pískovna tou,1.0,UNY Osada,0.401099,Čmejlova pískovna,0.155866,pískovna tou,0.061856,Trať,0.029845,Okres,0.029845,Osada,0.026908,Čmejlova,0.026908,Roudnice,0.026908,UNY,0.024492,pohřebiště,0.016097,byl,0.015415,Kat,0.012446,obec,0.012446,další,0.01232,hrob,0.011342,tou,0.010847,kde,0.010331,pískovna,0.009578,asi,0.009377
CTX196006127,OBEC Žinkovy OKRES,1.0,OKRES I lzeň,0.187096,jih vir,0.098812,OBEC Žinkovy,0.074393,Žinkovy OKRES,0.062214,ČÍSLO PARCELY NÁZEV,0.042263,PARCELY NÁZEV TRATI,0.040294,Blovice,0.037503,OBEC,0.030445,OKRES,0.025581,NÁZEV TRATI PřUohy,0.024001,Potenštejn Kultura středověk,0.023765,Kultura středověk ČÍSLO,0.021285,středověk ČÍSLO MAPY,0.021285,ČÍSLO MAPY kooa,0.021285,Potenštejn Kultura,0.018007,Literatura A. Sedláček,0.018007,ČÍSLO PARCELY,0.016312,ČÍSLO MAPY,0.016312,PARCELY NÁZEV,0.015596
CTX196300443,ABCHEOLOGICKÝ ÚSTAV Exgesitura,1.0,CESKOSLOVENSKA AKADEM’E VEk,0.476979,AKADEM’E VEk ABCHEOLOGICKÝ,0.443333,VEk ABCHEOLOGICKÝ ÚSTAV,0.443333,CESKOSLOVENSKA AKADEM’E,0.062923,Exgesitura v Plzal,0.062923,ABCHEOLOGICKÝ ÚSTAV,0.058513,ÚSTAV Exgesitura,0.058513,AKADEM’E VEk,0.026039,VEk ABCHEOLOGICKÝ,0.026039,Doe,0.003966,CESKOSLOVENSKA,0.00367,Plzal,0.00367,AKADEM’E,0.003413,ABCHEOLOGICKÝ,0.003413,ÚSTAV,0.003413,Exgesitura,0.003413,okres Plzeň,0.002716,sbírce Vlastivědného muzea,0.00268,Plzeň,0.002648
CTX197200659,Antropologický posudek,1.0,hromádce u nádoby,0.606648,Kůstky,0.577281,nádoby,0.530776,Sáček,0.503077,kostní,0.345032,posudek o žárových,0.311244,žárových pozůstatcích,0.311244,rohu,0.288779,kostní drti,0.259856,kůstky na hromádce,0.228957,Antropologický,0.223532,kompakty,0.199684,kostní kompakty,0.194168,jamce u nádoby,0.188761,množství kostní drti,0.17497,hromádce,0.159934,drti,0.133522,kůstky u nádoby,0.132355,halštatské mohyly,0.131647
CTX197402444,ATOVICEn.Le Kat,1.0,Lužické sídliště Zpráva,0.488102,Pardubice Okres,0.294914,Zpráva XXWžkumu XAterenta,0.224047,sídliště Zpráva XXWžkumu,0.188151,Kat,0.16748,Druh a kultura,0.139482,JZD v Opatovicích,0.116025,ČSAV v Praze,0.115035,Zpráva XXWžkumu,0.114044,Lužické sídliště,0.108122,XAterenta kmixxxx ved,0.106523,Opatovicích,0.10027,sídliště Zpráva,0.098091,XXWžkumu XAterenta kmixxxx,0.093887,Praze,0.093818,navštívili pískovnu JZD,0.092955,výzkum,0.089295,práce v pískovně,0.086441,Praze dne,0.07694
CTX197901442,PARCELY Rychnov n.Kn,1.0,ČÍSLO PARCELY Rychnov,0.426419,OBEC OKRES,0.380446,Mad DrAMou ČÍSLO,0.229053,PARCELY Rychnov,0.186306,DrAMou ČÍSLO PARCELY,0.157918,Rychnov n.Kn,0.115873,Mad DrAMou,0.105596,ČÍSLO PARCELY,0.050504,Přílohy NÁZEV TRATI,0.042811,NÁZEV TRATI Homole,0.036504,OBEC,0.030244,OKRES,0.030244,Mad,0.030244,Újezda pokryt lesem,0.026626,Vysoký jez,0.026102,NÁZEV TRATI,0.023172,PARCELY,0.021233,Rychnov,0.021233,DrAMou ČÍSLO,0.018862
CTX198402945,Okres Beroun CSAV’,1.0,Osada Trať,0.364738,traktu domu,0.285136,Okres Beroun,0.281579,Beroun CSAV’,0.281579,jímky,0.253961,Beroun,0.226998,traktu,0.176615,obec Beroun,0.164721,vrstvou,0.152719,domu,0.15226,část jímky,0.146009,spodní,0.14591,bylo,0.143507,zadního traktu domu,0.14227,hlinitou,0.11972,Spodní část jímky,0.119182,Kat,0.099432,zboží,0.095605,část,0.093952
CTX198603218,MHRH Tábor,1.0,Tábor,0.96251,ZSV,0.700209,ZSV Kravín,0.677798,Ves,0.631513,Kravín,0.572031,objekt,0.566033,TUROVEC,0.519339,průměru,0.497654,Stará ves,0.497652,Pustá ves,0.497652,Táborskú,0.491559,objektů,0.447087,byla,0.430901,MHRH,0.425908,ČSAV Praha,0.395831,Ikm sev,0.386924,první poloviny,0.3865,Krajíc,0.375475,dům,0.368076
CTX199405706,ONDREJOV,1.0,okr,0.505124,DAT,0.321071,KULT,0.234971,LOK,0.200299,NALEZ,0.181237,Bubníkova usedlost,0.179721,Praha-východ,0.178582,OKOL,0.169026,ULOŽ,0.160454,LIT,0.154057,Bubníkova,0.132613,Kalina,0.106727,pece,0.105453,usedlost,0.07941,kostr. hrob,0.075398,kostr.,0.075335,hrob,0.075335,kopání,0.072725,hrnčíř,0.072725
